food_code,food_name,SUMBER,AIR (g),energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,SERAT (g),ABU (g),calcium_mg_100g,FOSFOR (mg),BESI (mg),sodium_mg_100g,potassium_mg_100g,TEMBAGA (mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR-TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT C (mg),bdd_percent,category,is_olahan_code,food_name_normalized_tkpi,urt_match_normalized,match_score,best_candidate,match_status,urt_food_name,urt_gram,urt,food_name_normalized_urt,urt_gram_numeric,gram_per_portion,URT,match_type,is_usable_for_recommendation
BR019,"Sagu aren, segar",KZGMI-2001,"42,5",231,,,,"3,2","0,1",20.0,20,"0,1",7.0,0.0,"0,1","0,1",0,,0,"0,2",0,0,0,100.0,MP,False,sagu aren,,77.77777777777779,gula aren,low_score,,,,,,,,unmatched,False
BR020,Sagu kasbi segar,KZGMI-2001,"42,5",230,,,,3,"0,2",20.0,1,"0,3",100.0,410.0,"0,1","0,2",0,0,0,"0,1",0,0,0,100.0,MP,False,sagu kasbi,,63.63636363636363,susu kambing,low_score,,,,,,,,unmatched,False
BR021,Sagu lempeng,KZGMI-2001,"13,5",347,,,,"4,7","0,1",30.0,30,"0,2",11.0,0.0,"0,1","0,1",0,0,,"0,3",0,0,0,100.0,MP,False,sagu lempeng,,58.33333333333333,kembang tahu,low_score,,,,,,,,unmatched,False
BR022,"Sagu singkong, kering",DABM- 1964,12,362,,,,,"0,3",0.0,0,0,,,,,,0,0,0,,,0,100.0,MP,False,sagu singkong,,76.19047619047619,singkong,low_score,,,,,,,,unmatched,False
BR023,"Sente, talas, segar",DABM- 1964,14,353,,,,"6,6","0,4",11.0,13,"1,5",30.0,,"0,6","2,2",,41,,"0,05","0,2","2,8",5,86.0,MP,False,sente talas,,62.5,talas,low_score,,,,,,,,unmatched,False
BR024,"Suweg, talas, segar",KZGPI- 1990,"80,1",74,,,,"1,4","1,2",42.0,46,"1,3",7.0,400.0,"0,1","0,1",0,24,254,"0,04",0,"0,4",2,86.0,MP,False,suweg talas,,62.5,talas,low_score,,,,,,,,unmatched,False
BR025,"Talas bogor, segar",KZGPI- 1990,"72,4",108,,,25.0,"0,9","0,8",47.0,67,"0,7",10.0,448.0,"0,2","0,7",0,0,0,"0,06","0,07",1,4,85.0,MP,False,talas bogor,,62.5,talas,low_score,,,,,,,,unmatched,False
BR026,"Talas pontianak, segar",KZGPI- 1990,60,163,,,,"0,7","0,9",45.0,80,"1,7",14.0,,"0,3",1,0,0,0,"0,02","0,1","1,3",,83.0,MP,False,talas pontianak,,53.84615384615385,pisang raja,low_score,,,,,,,,unmatched,False
BR027,"Talas viqueque, segar",KZGMI-2001,"70,6",115,,,,"8,6","1,2",50.0,220,"0,9",1.0,70.0,"0,3",1,0,0,0,"0,08","0,1","0,9",,85.0,MP,False,talas viqueque,,52.63157894736843,talas,low_score,,,,,,,,unmatched,False
BR028,"Ubi jalar, kuning, segar",KZGMI-2001,"72,6",119,,,,"4,2",1,30.0,40,"0,4",3.0,1.0,"0,1","0,2",0,794,4948,"0,06","0,07","0,7",21,85.0,MP,False,ubi jalar kuning,ubi jalar kuning,100.0,ubi jalar kuning,accepted_fuzzy,Ubi Jalar Kuning,135,1 Biji Sedang,ubi jalar kuning,135.0,135.0,1 Biji Sedang,normalized_urt,True
BR029,"Ubi jalar manis, segar",KZGPI- 1990,"78,4",83,,,,"0,6","1,1",27.0,162,"2,1",52.0,,"0,1","0,3",0,0,0,"0,02",0,"0,4",0,85.0,MP,False,ubi jalar manis,,77.41935483870968,ubi jalar kuning,low_score,,,,,,,,unmatched,False
BR030,"Ubi jalar merah, segar",KZGPI- 1990,"61,9",151,,,,"0,7","0,6",29.0,74,"0,7",92.0,,"0,3","0,5",0,0,1208,"0,13","0,08","0,7",11,86.0,MP,False,ubi jalar merah,,64.51612903225806,ubi jalar kuning,low_score,,,,,,,,unmatched,False
BR031,"Ubi jalar putih, segar",KZGMI-2001,"77,8",88,,,,4,"0,8",30.0,10,"0,5",2.0,4.0,"0,1","0,2",0,13,264,"0,25","0,06","0,5",36,86.0,MP,False,ubi jalar putih,,77.41935483870968,ubi jalar kuning,low_score,,,,,,,,unmatched,False
BR032,Ubi jalar tinta/ kemayung,KZGMI-2001,"72,5",108,,,,"4,2",1,30.0,40,"0,5",1.0,1.0,"0,1","0,2",0,13,0,"0,09","0,06","0,6",24,85.0,MP,False,ubi jalar tinta kemayung,,75.0,ubi jalar kuning,low_score,,,,,,,,unmatched,False
