food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed
DR007,"Bawang bombay, segar",DABM-1964,"87,5",43,"1,4","0,2","10,3",2,"0,6",32,44,"0,5","12,2","9,6","0,1","0,3",,788,50,"0,03","0,21","0,4",9,94,D,DR,S,Sayur,tkpi_main_group,"bawang bombay, segar",bawang bombay,bawang bombay,1 gelas,100,False,False,False,False
DR008,"Bayam, segar",KZGPI-1990,"94,5",16,"0,9","0,4","2,9","0,7","1,3",166,76,"3,5","15,8","456,4","0,13","0,4",,2699,2293,"0,04","0,1",1,41,71,D,DR,S,Sayur,tkpi_main_group,"bayam, segar",bayam,bayam,1 gelas,100,False,False,False,False
DR009,"Bayam merah, segar",KZGMI-2001,"88,5",41,"2,2","0,8","6,3","2,2","2,2",520,80,7,20,60,"0,2","0,8",0,7325,,"0,2","0,1","0,1",62,71,D,DR,S,Sayur,tkpi_main_group,"bayam merah, segar",bayam merah,bayam merah,1 gelas,100,False,False,False,False
DR010,"Bit, segar",DABM-1964,"87,6",41,"1,6","0,1","9,6","2,6","1,1",27,43,1,"28,5","404,9","0,2","0,7",,0,20,"0,02","0,05","0,3",10,75,D,DR,S,Sayur,tkpi_main_group,"bit, segar",bit,bit,1 gelas,100,False,False,False,False
DR011,Buah kelor,KZGMI-2001,"89,5",38,"1,5","0,2","7,5","3,2","1,3",30,54,0,48,216,0,"0,2",,31,,"0,1","0,1","4,1",25,65,D,DR,S,Sayur,tkpi_main_group,buah kelor,buah kelor,buah kelor,1 gelas,100,False,False,False,False
DR012,Buah merah,KZGMI-2001,"81,2",87,"2,6","2,7","13,1",4,"0,4",30,1,"1,1",110,140,"0,1","0,3",0,0,,"1,5","0,1","0,2",15,100,D,DR,S,Sayur,tkpi_main_group,buah merah,buah merah,buah merah,1 gelas,100,False,False,False,False
DR013,"Buncis, segar",KZGPI-1990,"89,6",34,"2,4","0,3","7,2","1,9","0,5",101,42,"0,7",8,250,"0,07","0,3",0,772,550,"0,05","0,4","2,8",11,90,D,DR,S,Sayur,tkpi_main_group,"buncis, segar",buncis,buncis,1 gelas,100,False,False,False,False
DR014,"Bunga pepaya, segar",KZGPI-1990,"87,3",45,"2,6","0,3","8,1","1,6","1,7",290,113,"4,2","2,3","478,3","0,08","0,8",,2792,5,"0,01","0,28",1,23,100,D,DR,S,Sayur,tkpi_main_group,"bunga pepaya, segar",bunga pepaya,bunga pepaya,1 gelas,100,False,False,False,False
DR015,"Bunga turi, segar",BKP,"90,4",42,2,"1,1","6,1","3,3","0,4",28,23,"0,8","28,6","97,4","0,1","0,6",,1200,0,"0,5","0,02","0,4",1,"96,1",D,DR,S,Sayur,tkpi_main_group,"bunga turi, segar",bunga turi,bunga turi,1 gelas,100,False,False,False,False
DR016,"Caisin, segar",KZGPI-1990,"93,6",20,"1,7","0,4","3,4","1,2","0,9",123,40,"1,9",18,"358,2","0,05","1,4",,1675,4188,"0,04","0,19","0,6",3,100,D,DR,S,Sayur,tkpi_main_group,"caisin, segar",caisin,caisin,1 gelas,100,False,False,False,False
DR017,"Daun bangun- bangun, segar",KZGPI-1990,"92,5",27,"1,3","0,6",4,1,"1,6",279,40,"13,6","3,6",144,,,,1489,13288,"0,16","0,1",0,5,66,D,DR,S,Sayur,tkpi_main_group,"daun bangun- bangun, segar",daun bangun- bangun,daun bangun- bangun,1 gelas,100,False,False,False,False
DR018,"Daun bawang merah, segar",KZGMI-2001,"89,1",41,2,"0,3","7,8","2,1","0,8",60,40,"2,3",30,90,"0,1","0,3",0,218,,"0,1","0,1","0,2",11,67,D,DR,S,Sayur,tkpi_main_group,"daun bawang merah, segar",daun bawang merah,daun bawang merah,1 gelas,100,False,False,False,False
DR019,"Daun bebuas, segar",KZGPI-1990,"87,9",41,"2,7",1,"7,3","2,1","1,1",29,245,"1,5",,,,,0,,3099,"0,01",,,3,49,D,DR,S,Sayur,tkpi_main_group,"daun bebuas, segar",daun bebuas,daun bebuas,1 gelas,100,False,False,False,False
DR020,"Daun belem, segar",KZGPI-1990,"84,6",50,"4,4","1,4","7,8","1,9","1,8",698,151,"7,5",,,,,0,,13072,"0,05",,,21,81,D,DR,S,Sayur,tkpi_main_group,"daun belem, segar",daun belem,daun belem,1 gelas,100,False,False,False,False
DR021,"Daun bluntas, segar",DABM-1964,86,44,"1,8","0,5","9,4",,"2,3",256,49,"5,6",,,,,,,3980,"0,02",,,30,65,D,DR,S,Sayur,tkpi_main_group,"daun bluntas, segar",daun bluntas,daun bluntas,1 gelas,100,False,False,False,False
DR022,"Daun gandaria, segar",DABM-1964,81,63,"3,1","0,3",14,"2,1","1,6",40,45,"4,7",3,"127,7",,,,503,600,"0,04","0,04","0,2",61,65,D,DR,S,Sayur,tkpi_main_group,"daun gandaria, segar",daun gandaria,daun gandaria,1 gelas,100,False,False,False,False
