food_code,food_name,SUMBER,AIR (g),energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,SERAT (g),ABU (g),calcium_mg_100g,FOSFOR (mg),BESI (mg),sodium_mg_100g,potassium_mg_100g,TEMBAGA (mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR-TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT C (mg),bdd_percent,category_code,is_processed_code,keep_this_food,food_name_normalized,urt_food_name,urt_gram,urt,urt_gram_numeric,_merge,gram_per_portion,URT,match_type,is_usable_for_recommendation,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,gram_per_portion_urt,portion_source
DR033,"daun kacang panjang, segar",KZGPI-1990,"89,7",30,3.1,0.3,5.8,"1,7","1,1",200,66,"4,5",7,"458,6","0,2","0,3",0,2734,4592,"0,33","0,2","1,1",30,65,S,False,True,daun kacang panjang,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,30.0,3.1,0.3,5.8,100.0,URT
DR034,"daun kasbi/singkong karet, segar",KZGMI-2001,"80,3",92,4.0,3.6,10.9,"5,8","1,2",140,70,"1,6",70,90,"0,3","1,1",,9999,,"0,1","0,2","0,1",74,87,S,False,True,daun kasbi singkong karet,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,92.0,4.0,3.6,10.9,100.0,URT
DR035,"daun katuk, segar",KZGPI-1990,81,59,6.4,1.0,9.9,"1,5","1,7",233,98,"3,5","20,7","478,8","0,3","1,3",,9152,10020,0,"0,31","2,3",164,40,S,False,True,daun katuk,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,59.0,6.4,1.0,9.9,100.0,URT
DR036,"daun kecipir, segar",DABM-1964,85,52,5.0,0.5,8.5,,1,134,81,"6,2","5,8",114,"0,3","0,8",,3981,5240,"0,28","0,4","2,2",29,70,S,False,True,daun kecipir,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,52.0,5.0,0.5,8.5,100.0,URT
DR037,"daun kedondong, segar",DABM-1964,81,59,3.5,0.3,13.4,"10,7","1,8",540,82,"6,2","12,1",579,,,,1624,2900,"0,06","0,2","1,5",29,65,S,False,True,daun kedondong,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,59.0,3.5,0.3,13.4,100.0,URT
DR038,"daun kelor, segar",KZGMI-2001,"75,5",92,5.1,1.6,14.3,"8,2","3,5",1077,76,6,61,298,"0,1","0,6",,3266,,"0,3","0,1","4,2",22,65,S,False,True,daun kelor,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,92.0,5.1,1.6,14.3,100.0,URT
DR039,"daun kemang, segar",DABM-1964,85,43,5.5,0.3,7.5,"8,4","1,7",35,106,1,"9,5","457,1",,,,1282,1017,"0,06","0,1","1,2",30,65,S,False,True,daun kemang,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,43.0,5.5,0.3,7.5,100.0,URT
DR040,"daun kenikir, segar",BKP,"87,6",45,3.7,0.5,6.6,"5,8","1,7",328,65,"2,7","6,1",431,"0,1","0,6",,30200,12,"0,5","0,3","4,5",0,"36,3",S,False,True,daun kenikir,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,45.0,3.7,0.5,6.6,100.0,URT
DR041,"daun kesum, segar",KZGPI-1990,"84,8",48,4.5,0.8,9.1,"1,6","0,8",125,142,"2,6","10,8","174,7","0,4","1,2",0,4216,8715,"0,01","0,1","1,6",4,53,S,False,True,daun kesum,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,48.0,4.5,0.8,9.1,100.0,URT
DR042,"daun kol sawi, segar",KZGPI-1990,"93,1",22,2.1,0.5,3.6,"0,9","0,7",200,92,"3,2","19,4","386,2","0,1","0,2",0,1806,2177,"0,03","0,2","0,6",3,87,S,False,True,daun kol sawi,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,22.0,2.1,0.5,3.6,100.0,URT
DR043,"daun koro, segar",DABM-1964,91,23,3.0,0.3,3.7,,2,134,81,"6,2","3,5","68,4","0,2","0,5",,2386,5240,"0,28","0,2","1,3",29,65,S,False,True,daun koro,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,23.0,3.0,0.3,3.7,100.0,URT
DR044,"daun kubis, segar",KZGMI-2001,"86,2",51,2.5,1.1,8.0,"3,4","2,2",100,50,"3,4",50,100,"0,9","0,6",,9999,,"0,4","0,1","0,2",16,75,S,False,True,daun kubis,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,51.0,2.5,1.1,8.0,100.0,URT
DR045,"daun kumak, segar",KZGPI-1990,"95,2",14,1.3,0.3,2.3,"0,9","0,9",90,59,"2,7","1,9","36,5","0,1","0,3",,1274,2961,"0,01",0,"0,5",3,78,S,False,True,daun kumak,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,14.0,1.3,0.3,2.3,100.0,URT
DR046,"daun labu siam, segar",DABM-1964,"89,7",34,4.0,0.4,4.7,"3,5","1,2",58,70,"2,5","15,9","630,7","0,2","0,3",,4773,2025,"0,08","0,4","1,7",16,100,S,False,True,daun labu siam,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,34.0,4.0,0.4,4.7,100.0,URT
DR047,"daun labu waluh/kuning, segar",DABM-1964,"89,7",34,3.6,0.6,4.5,"2,9","1,6",138,99,"3,7","15,9","630,7","0,2","0,3",,1258,2750,"0,14","0,2","1,3",36,70,S,False,True,daun labu waluh kuning,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,34.0,3.6,0.6,4.5,100.0,URT
DR048,"daun lamtoro, segar",KZGPI-1990,74,87,8.3,1.8,14.4,"3,3","1,5",725,174,"3,9","10,1","197,7","0,5","1,4",0,6900,13040,0,"0,1","2,3",32,40,S,False,True,daun lamtoro,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,87.0,8.3,1.8,14.4,100.0,URT
DR049,"daun leilem, segar",KZGMI-2001,"79,4",76,2.8,0.2,15.8,"3,1","1,8",296,22,"3,4",6,46,"0,5","1,1",,753,,"0,3","0,1","2,5",22,90,S,False,True,daun leilem,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,76.0,2.8,0.2,15.8,100.0,URT
DR050,"daun leunca, segar",DABM-1964,85,49,4.7,0.5,8.1,,"1,7",210,80,"6,1",,,,,,,1900,"0,14",,,40,70,S,False,True,daun leunca,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,49.0,4.7,0.5,8.1,100.0,URT
DR051,"daun lobak, segar",DKBM-1964,90,30,2.3,0.4,5.8,"3,2","1,4",140,33,"3,7","15,8","747,4","0,2","0,2",,5039,1000,"0,07","1,1","6,5",109,70,S,False,True,daun lobak,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,30.0,2.3,0.4,5.8,100.0,URT
DR052,"daun lompong talas, segar",DABM-1964,"87,2",44,3.0,0.8,7.4,"3,3","1,6",76,59,1,"2,7","578,4","0,2","0,4",,2584,2000,"0,08","0,4","1,4",31,75,S,False,True,daun lompong talas,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,44.0,3.0,0.8,7.4,100.0,URT
DR053,"daun mangkokan, segar",DABM-1964,82,57,3.7,0.3,11.8,,"2,2",474,49,4,,,,,,,5450,"0,06",,,83,80,S,False,True,daun mangkokan,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,57.0,3.7,0.3,11.8,100.0,URT
DR054,"daun matel ambon, segar",KZGPI-1990,"77,1",71,6.8,1.6,11.5,"4,6",3,93,95,"10,2",,,,,0,,49,"0,08",,,26,100,S,False,True,daun matel ambon,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,71.0,6.8,1.6,11.5,100.0,URT
DR055,"daun melinjo, segar",DABM-1964,"70,8",104,5.0,1.3,21.3,"10,3","1,6",219,82,"4,2","12,2","604,8","0,4","0,6",,823,10000,"0,09",,,182,88,S,False,True,daun melinjo,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,104.0,5.0,1.3,21.3,100.0,URT
DR056,"daun mengkudu, segar",KZGPI-1990,"80,9",65,4.0,1.7,11.4,"3,9",2,296,40,"6,9",,,,,0,2,4958,"0,01","0,1","5,7",35,90,S,False,True,daun mengkudu,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,65.0,4.0,1.7,11.4,100.0,URT
DR057,"daun ndusuk, segar",KZGMI-2001,56,166,1.7,0.5,38.8,"10,7",3,40,20,"1,8",40,310,"0,2","0,7",,14457,,"0,4","0,1","0,1",30,,S,False,True,daun ndusuk,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,166.0,1.7,0.5,38.8,100.0,URT
DR058,"daun oyong, segar",DABM-1964,93,22,1.0,0.1,5.3,2,"0,6",21,44,2,"39,9","295,5","0,1","0,2",,855,1000,"0,08","0,1","0,8",150,65,S,False,True,daun oyong,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,22.0,1.0,0.1,5.3,100.0,URT
DR059,"daun pakis, segar",KZGPI-1990,"86,8",39,4.5,0.4,6.9,2,"1,4",136,159,"2,3","20,1","201,9","0,2","0,3",0,1625,3292,"0,02","0,1","0,5",3,70,S,False,True,daun pakis,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,39.0,4.5,0.4,6.9,100.0,URT
