food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed
BP066,Tepung gaplek,BKP,13,345,"2,4","0,4","83,1","6,7","1,1",18,95,"1,5",6,55,"0,4","1,2",,1,0,"0,3","0,2","0,1","0,2",100,B,BP,MP,Makanan Pokok,tkpi_main_group,tepung gaplek,tepung gaplek,tepung gaplek,,,,,True,False,True,False
BP067,"Tepung kentang, kering",DABM- 1964,13,347,"0,3","0,1","85,6","0,4",1,20,30,"0,5",51,"156,3","0,2","0,5",,0,0,"0,04",0,"0,4",0,100,B,BP,MP,Makanan Pokok,tkpi_main_group,"tepung kentang, kering","tepung kentang, kering","tepung kentang, kering",,,,,True,False,True,False
BP068,Tepung mocaf,BKP,"11,9",350,"1,2","0,6",85,6,"1,3",60,64,"15,8",8,403,"0,1","0,6",,0,0,"0,02","0,02","0,7","1,7",100,B,BP,MP,Makanan Pokok,tkpi_main_group,tepung mocaf,tepung mocaf,tepung mocaf,,,,,True,False,True,False
BP069,Tepung sente,BKP,"15,3",326,4,"0,4","76,7","8,5","3,6",41,141,"3,5",14,1602,"0,4","1,4",,0,0,"0,02","0,2","7,7","0,2",100,B,BP,MP,Makanan Pokok,tkpi_main_group,tepung sente,tepung sente,tepung sente,,,,,True,False,True,False
BP070,Tepung singkong/ tapioka,DABM- 1964,"9,1",363,"1,1","0,5","88,2","0,9","1,1",84,125,1,1,"7,1",0,"0,1",,0,,"0,04",0,"0,4",0,100,B,BP,MP,Makanan Pokok,tkpi_main_group,tepung singkong/ tapioka,tepung singkong tapioka,tepung singkong tapioka,,,,,True,False,True,False
BP071,Tepung tales beneng,BKP,"12,2",332,"5,7","0,6","76,1","12,2","5,5",59,302,"10,7",7,1404,"0,8","6,2",,0,0,"0,02","0,1","0,3","0,2",100,B,BP,MP,Makanan Pokok,tkpi_main_group,tepung tales beneng,tepung tales beneng,tepung tales beneng,,,,,True,False,True,False
BP072,Tepung ubi ungu,BKP,"9,4",354,"2,8","0,6","84,4","12,9","2,8",89,125,"3,9",42,940,"0,8","0,6",,0,0,"0,4","0,02",0,"0,2",100,B,BP,MP,Makanan Pokok,tkpi_main_group,tepung ubi ungu,tepung ubi ungu,tepung ubi ungu,,,,,True,False,True,False
CR001,"Kacang arab, kering",DABM-1964,"11,6",330,"23,8","1,4","60,2","17,4",3,57,388,"4,7",24,"874,3","0,85","3,4",,40,140,"0,77","0,21","1,5",2,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang arab, kering","kacang arab, kering","kacang arab, kering",,,,,False,False,False,False
CR002,"Kacang babi, kering",KZGPI-1990,"11,6",341,"30,4","3,2","51,3","4,5","3,5",178,521,"6,8",13,1768,"0,82","3,1",,,87,"0,23","0,33","2,8",,80,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang babi, kering","kacang babi, kering","kacang babi, kering",,,,,False,False,False,False
CR003,"Kacang belimbing (kecipir), kering",KZGPI-1990,"10,4",400,"34,4","16,9","34,1","10,7","4,2",468,182,"6,8",37,955,"2,82",2,,,,"0,3","0,44",3,,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang belimbing (kecipir), kering","kacang belimbing (kecipir), kering","kacang belimbing (kecipir), kering",,,,,False,False,False,False
CR004,"Kacang beracun, segar",KZGMI-2001,"72,1",118,"4,4","1,5","21,6",,"0,4",50,50,"1,7",10,40,"0,3",1,,,,"0,43",,,,,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang beracun, segar",kacang beracun,kacang beracun,,,,,False,False,False,False
CR005,"Kacang bogor, kering",DABM-1964,10,370,16,6,65,"26,3",3,85,264,"4,2",44,"868,8","1,48","2,7",0,,,"0,18","0,26","6,2",0,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang bogor, kering","kacang bogor, kering","kacang bogor, kering",,,,,False,False,False,False
CR006,"Kacang bogor, segar",KZGPI-1990,"60,8",165,"7,7","3,1","27,4","2,5",1,96,126,"5,3",6,537,"0,41","1,2",,29,,"0,32","0,35","2,7",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang bogor, segar",kacang bogor,kacang bogor,,,,,False,False,False,False
CR007,"Kacang endel, biji, kering",DABM-1964,14,331,25,1,58,"23,6",2,80,400,5,12,"1322,4","0,68","2,7",0,,,"0,3","0,75","2,3",,95,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang endel, biji, kering","kacang endel, biji, kering","kacang endel, biji, kering",,,,,False,False,False,False
CR008,"Kacang ercis, segar",KZGMI-2001,"67,6",129,"12,4","0,7","18,3","28,6",1,40,130,"2,3",4,310,"0,3","2,1",,212,,"0,29","0,05","2,7",,45,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang ercis, segar",kacang ercis,kacang ercis,,,,,False,False,False,False
CR009,"kacang galing, segar",DABM-1964,12,336,"23,1","1,7","59,5",,"3,8",80,400,5,,,,,0,,,"0,6",,,0,95,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang galing, segar",kacang galing,kacang galing,,,,,False,False,False,False
CR010,"Kacang gude, biji, kering",KZGPI-1990,"16,1",316,"20,7",1,58,"4,6","4,2",146,445,"4,7",16,"1306,2","0,99","2,7",,19,,"0,3","0,19","2,4",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang gude, biji, kering","kacang gude, biji, kering","kacang gude, biji, kering",,,,,False,False,False,False
CR011,"Kacang gude, biji, segar",DABM-1964,"70,3",114,7,"0,6","20,8","4,4","2,3",3,122,"1,5",4,"480,5","0,12","0,9",,,70,"0,37","0,07","0,8",43,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang gude, biji, segar","kacang gude, biji","kacang gude, biji",,,,,False,False,False,False
CR012,"Kacang hijau var. bakti, kering",KZGPI-1990,"7,4",350,"17,1","1,8","70,7","5,7","3,1",94,315,"4,9",46,"893,9","1,52","3,1",,171,235,"0,4","0,27","2,6",11,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang hijau var. bakti, kering","kacang hijau var. bakti, kering","kacang hijau var. bakti, kering",,,,,False,False,False,False
CR013,"Kacang hijau var. siwalik, kering",KZGPI-1990,"8,8",339,"20,8","2,1","64,6","7,4","3,7",122,136,"4,9",45,"880,4","1,5","3,1",,168,321,"0,45","0,27","2,6",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang hijau var. siwalik, kering","kacang hijau var. siwalik, kering","kacang hijau var. siwalik, kering",,,,,False,False,False,False
CR014,"Kacang hijau, kering",KZGPI-1990,"15,5",323,"22,9","1,5","56,8","7,5","3,3",223,319,"7,5",42,"815,7","1,9","2,9",,156,223,"0,46","0,15","1,5",10,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang hijau, kering","kacang hijau, kering","kacang hijau, kering",,,,,False,False,False,False
CR015,"Kacang hitam, kering",KZGMI-2001,"12,5",346,"16,6","1,7","66,1","22,8","3,1",70,300,"4,7",3,0,"0,9","3,5",,28,,"0,16","0,1","2,1",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang hitam, kering","kacang hitam, kering","kacang hitam, kering",,,,,False,False,False,False
CR016,"Kacang kapri, segar",DABM-1964,"74,3",98,"6,7","0,4","17,7","6,2","0,9",22,122,"1,9",6,"296,6","0,21","1,5",,,680,"0,34","0,16","2,5",26,45,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang kapri, segar",kacang kapri,kacang kapri,,,,,False,False,False,False
CR017,"Kacang kedelai, kering",KZGPI-1990,"12,7",381,"40,4","16,7","24,9","3,2","5,5",222,682,10,210,"713,4","1,58","3,9",,237,31,"0,52","0,12","1,2",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang kedelai, kering","kacang kedelai, kering","kacang kedelai, kering",,,,,False,False,False,False
CR018,"Kacang kedelai, segar",DABM-1964,20,286,"30,2","15,6","30,1","2,9","4,1",196,506,"6,9",28,"870,9","1,24","3,6",,,95,"0,93","0,26","1,8",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang kedelai, segar",kacang kedelai,kacang kedelai,2 Sendok Makan,2.0,Sendok Makan,25,False,True,False,False
CR019,"Kacang kincai, kering",KZGMI-2001,"4,2",444,"19,9",16,55,,"4,9",26,,,,,,,,,,"0,1","0,1","1,9",,,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang kincai, kering","kacang kincai, kering","kacang kincai, kering",,,,,False,False,False,False
CR020,"Kacang komak, segar",KZGMI-2001,"20,9",327,"16,4","4,3","55,8","0,5","2,6",74,282,4,22,1137,"0,9","2,1",,,,"0,99","0,12","0,1",,45,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang komak, segar",kacang komak,kacang komak,,,,,False,False,False,False
CR021,"Kacang kuning, kering",KZGMI-2001,"11,7",355,17,"2,5",66,"15,1","2,8",140,220,"5,8",1,0,"0,7","3,2",,58,,"0,47","0,08","1,9",,,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang kuning, kering","kacang kuning, kering","kacang kuning, kering",,,,,False,False,False,False
CR022,"Kacang lebui/ iris, kering",KZGMI-2001,"11,8",346,"16,5","1,5","66,6","37,3","3,6",144,368,"3,4",17,1225,"1,5","3,3",,64,,"0,62","0,2",0,,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang lebui/ iris, kering","kacang lebui iris, kering","kacang lebui iris, kering",,,,,False,False,False,False
CR023,"Kacang mentega, kering",KZGMI-2001,"13,7",344,"16,7","2,1","64,6",13,"2,9",110,300,"6,7",1,10,"0,7","2,5",,0,,"0,21","0,07","1,2",,,C,CR,M,Minyak / Lemak,keyword_rule,"kacang mentega, kering","kacang mentega, kering","kacang mentega, kering",,,,,False,False,False,False
CR024,"Kacang merah/ banda, kering",KZGMI-2001,13,350,"13,9",3,"66,9","26,3","3,2",84,242,"6,8",19,1127,0,42,,137,,"0,15","0,76","0,3",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang merah/ banda, kering","kacang merah banda, kering","kacang merah banda, kering",,,,,False,False,False,False
CR025,"Kacang merah tua, kering",KZGPI- l990,"12,3",280,"16,7","1,6","63,2","4,6","6,2",209,335,"6,4",19,"1348,5","0,69","2,8",,,,"0,1","0,08",2,6,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang merah tua, kering","kacang merah tua, kering","kacang merah tua, kering",,,,,False,False,False,False
CR026,"Kacang merah, kering",KZGPI- l990,"17,7",314,"22,1","1,1","56,2",4,"2,9",502,429,"10,3",11,"1265,5","0,65","2,6",,129,,"0,4","0,72","2,2",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang merah, kering","kacang merah, kering","kacang merah, kering",,,,,False,False,False,False
CR027,"Kacang merah, segar",KZGPI- l990,"57,2",171,11,"2,2",28,"2,1","1,7",293,134,"3,7",7,"360,7","0,34","1,4",,0,10,"0,15","0,15","1,1",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang merah, segar",kacang merah,kacang merah,2 Sendok Makan,2.0,Sendok Makan,25,False,True,False,False
CR028,"Kacang mete/biji jambu monyet, segar",KZGMI-2001,"4,6",616,"16,3","48,4","28,7","0,9",2,26,521,"3,8",26,692,"4,7","4,1",,5,,"0,64","0,03",0,,69,C,CR,G,Gula,keyword_rule,"kacang mete/biji jambu monyet, segar",kacang mete biji jambu monyet,kacang mete biji jambu monyet,,,,,False,False,False,False
CR029,"Kacang panjang, biji, kering",DABM-1964,"12,2",357,"17,3","1,5","68,6","10,6","0,4",163,437,"6,9",16,"1109,4","0,35","2,8",0,2182,,"0,57","0,98","7,1",2,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang panjang, biji, kering","kacang panjang, biji, kering","kacang panjang, biji, kering",,,,,False,False,False,False
CR030,Kacang tanah sangan,KZGPI- l990,"1,2",560,"29,5",43,"24,1","2,9","2,2",107,366,"4,1",34,"509,8","1,69","2,1",,0,,"0,31","0,3","15,5",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,kacang tanah sangan,kacang tanah sangan,kacang tanah sangan,,,,,False,False,False,False
CR031,Kacang tanah sangan tanpa selaput,DABM-1964,"2,6",559,"26,9","44,2","23,6","2,6","2,7",74,393,"1,9",33,"202,3","520,4","1,7",0,0,,"0,3","29,47",8,0,100,C,CR,LN,Lauk Nabati,tkpi_main_group,kacang tanah sangan tanpa selaput,kacang tanah sangan tanpa selaput,kacang tanah sangan tanpa selaput,,,,,False,False,False,False
CR032,"Kacang tanah, kering",KZGPI- l990,"9,6",525,"27,9","42,7","17,4","2,4","2,4",316,456,"5,7",31,"466,5","1,55","1,9",,0,30,"0,44","0,27","1,4",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang tanah, kering","kacang tanah, kering","kacang tanah, kering",,,,,False,False,False,False
CR033,"Kacang tolo/ tunggak, kering",KZGPI- l990,"13,5",331,"24,4","1,9","56,6","1,6","3,6",481,399,"13,9",15,"7,8","1,03","5,9",,65,,"0,06","0,2","4,3",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang tolo/ tunggak, kering","kacang tolo tunggak, kering","kacang tolo tunggak, kering",,,,,False,False,False,False
CR034,"Kacang tunis, kering",KZGMI-2001,"10,5",351,"12,2","1,2","72,9","29,5","3,2",120,220,"6,9",1,0,"1,4","2,9",,,,"0,57","0,13","2,5",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang tunis, kering","kacang tunis, kering","kacang tunis, kering",,,,,False,False,False,False
CR035,"Kacang uci, kering",KZGPI- l990,"9,9",358,"23,4","2,4","60,6","7,4","3,7",269,264,"0,5",13,"1457,7","0,35",,,20,,"0,1","0,2","2,5",2,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang uci, kering","kacang uci, kering","kacang uci, kering",,,,,False,False,False,False
CR036,"Kacang urei, kering",KZGMI-2001,"12,8",354,"12,8","1,8","69,3","26,1","3,3",220,220,"5,1",1,0,"0,7","3,1",,,,"0,55","0,05","3,5",,,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang urei, kering","kacang urei, kering","kacang urei, kering",,,,,False,False,False,False
CR037,"Kenari banda, kering",KZGMI-2001,13,616,"13,9","56,2","13,7",,"3,2",0,380,"1,4",11,460,"1,1","3,2",,90,,"0,83","0,08","0,5",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kenari banda, kering","kenari banda, kering","kenari banda, kering",,,,,False,False,False,False
CR038,"Kenari, kering",DABM-1964,3,657,15,66,13,,3,92,691,"7,7",3,"505,8","0,97",3,0,,,"0,42","0,09","0,5",0,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kenari, kering","kenari, kering","kenari, kering",,,,,False,False,False,False
CR039,"Komak polong, segar",KZGMI-2001,"74,3",99,"3,3","0,1","21,2","10,3","1,1",50,99,"13,1",15,567,"0,2","0,6",,5,,"0,13","0,03","0,2",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"komak polong, segar",komak polong,komak polong,,,,,False,False,False,False
CR040,"Koro andong, kering",KZGPI- 1990,"10,8",356,"20,5","4,1","61,6",7,3,150,272,"6,2",18,"301,8","0,73","2,8",,0,,"0,29","0,02","1,4",1,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"koro andong, kering","koro andong, kering","koro andong, kering",,,,,False,False,False,False
CR041,"Koro benguk, biji, kering",DABM-1964,15,332,24,3,55,"5,6",3,30,200,2,42,"389,2","1,25","8,7",,0,70,"0,3","0,12","1,7",0,95,C,CR,LN,Lauk Nabati,tkpi_main_group,"koro benguk, biji, kering","koro benguk, biji, kering","koro benguk, biji, kering",,,,,False,False,False,False
CR042,"Koro kerupuk, biji, segar",DABM-1964,"67,2",125,"8,3","0,7","22,1","2,2","1,7",17,12,"2,7",16,"150,3","0,48","3,4",,0,80,"0,11","0,04","1,1",31,68,C,CR,LN,Lauk Nabati,tkpi_main_group,"koro kerupuk, biji, segar","koro kerupuk, biji","koro kerupuk, biji",,,,,False,False,False,False
CR043,"Koro loke, biji, segar",DABM-1964,"88,6",33,"2,7","0,2","7,9","3,5","0,6",60,40,2,2,"38,6","0,09","0,4",,0,40,"0,1",0,"0,2",0,95,C,CR,LN,Lauk Nabati,tkpi_main_group,"koro loke, biji, segar","koro loke, biji","koro loke, biji",,,,,False,False,False,False
CR044,"Koro roay, kering",KZGPI- 1990,13,344,"12,5","2,1","69,4","7,5",3,70,103,"4,4",18,"294,3","0,72","2,7",,0,28,"0,11","0,21","1,4",1,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"koro roay, kering","koro roay, kering","koro roay, kering",,,,,False,False,False,False
CR045,"Koro wedus, biji, kering",DABM-1964,"11,8",338,"22,2","1,5",61,"5,8","3,5",88,395,"3,5",43,"403,8","1,3","9,1",0,0,,"0,62","0,12","1,8",0,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"koro wedus, biji, kering","koro wedus, biji, kering","koro wedus, biji, kering",,,,,False,False,False,False
CR046,"Lamtoro biji, muda, segar",DABM-1964,"77,4",85,"5,7","0,3","15,4","10,8","1,2",180,53,"2,7",35,"485,7","0,02","1,4",,0,423,"0,08","1,15",1,15,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"lamtoro biji, muda, segar","lamtoro biji, muda","lamtoro biji, muda",,,,,False,False,False,False
CR047,"Lamtoro biji, tua, segar",DABM-1964,"61,4",148,"10,6","0,5","26,2",17,"1,3",155,59,"2,2",28,"628,5","0,03","2,4",,,416,"0,23","0,49","2,8",20,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"lamtoro biji, tua, segar","lamtoro biji, tua","lamtoro biji, tua",,,,,False,False,False,False
CR048,Lamtoro var. gung tanpa kulit,KZGPI- 1990,"10,2",367,"46,4","5,4","32,5","2,6","4,4",136,441,"23,3",65,"1462,3","0,07","5,6",,,18900,"0,06","1,15",1,9,100,C,CR,LN,Lauk Nabati,tkpi_main_group,lamtoro var. gung tanpa kulit,lamtoro var. gung tanpa kulit,lamtoro var. gung tanpa kulit,,,,,False,False,False,False
CR049,Lamtoro var. lokal dengan kulit,KZGPI- 1990,"13,5",336,"23,8","1,2","59,7","15,4","1,8",867,321,"1,5",134,"1858,9","0,07","5,4",,,321,"0,15","1,34","0,9",16,100,C,CR,LN,Lauk Nabati,tkpi_main_group,lamtoro var. lokal dengan kulit,lamtoro var. lokal dengan kulit,lamtoro var. lokal dengan kulit,,,,,False,False,False,False
CR050,"Nangka, biji, segar",DABM-1964,"57,7",165,"4,2","0,1","36,7","1,8","1,3",33,200,1,69,179,"0,12","0,2",0,0,,"0,2","0,03","1,4",10,75,C,CR,LN,Lauk Nabati,tkpi_main_group,"nangka, biji, segar","nangka, biji","nangka, biji",,,,,False,False,False,False
CR051,"Saga merah terkupas, kering",KZGPI- 1990,"8,1",449,"30,6","25,5","31,9","3,5","3,9",1062,161,"14,2",66,"1496,5","0,07","5,7",,,107,"0,09","1,5","10,9",7,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"saga merah terkupas, kering","saga merah terkupas, kering","saga merah terkupas, kering",,,,,False,False,False,False
CR052,"Wijen, kering",DABM-1964,"5,8",568,"19,3","51,1","18,1","3,6","5,8",1125,614,"9,5",18,"303,7","4,16","7,9",,15,,"0,93","0,2","5,7",0,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"wijen, kering","wijen, kering","wijen, kering",,,,,False,False,False,False
CP005,"kacang hijau, rebus",KZGPI-1990,"71,3",109,"8,7","0,5","18,3","1,5","1,2",95,149,"1,5",447,"657,8","1,4","2,8",,18,120,"0,12","0,04","0,4",3,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"kacang hijau, rebus",kacang hijau,kacang hijau,2 Sendok Makan,2.0,Sendok Makan,25,True,True,False,False
CP007,"Kacang kedelai, rebus",KZGPI-1990,"56,8",189,"20,2","8,2","12,7","1,6","2,1",91,270,"3,9",181,615,"1,3","3,7",,4,15,"0,2","0,04","0,5",0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"kacang kedelai, rebus",kacang kedelai,kacang kedelai,2 Sendok Makan,2.0,Sendok Makan,25,True,True,False,False
CP016,"Ampas tahu, mentah",KZGPI- 1990,"84,1",67,5,"2,1","8,1","4,1","0,6",460,88,1,8,"184,5","0,17","0,5",,0,,"0,06","0,02","0,1",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"ampas tahu, mentah",ampas tahu,ampas tahu,,,,,True,False,True,False
CP017,Ampas tahu kukus,KZGPI- 1990,"82,5",75,"4,1","2,1","10,7","5,1","0,6",203,60,"1,3",,,,,,0,,"0,07",,,,100,C,CP,LN,Lauk Nabati,tkpi_main_group,ampas tahu kukus,ampas tahu kukus,ampas tahu kukus,,,,,True,False,True,False
CP018,"Ampas tahu, kering",DABM-1964,9,414,"26,6","18,3","41,3",0,"5,8",19,29,4,45,"1055,7","0,99","2,8",0,24,,"0,2","0,1","0,5",0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"ampas tahu, kering","ampas tahu, kering","ampas tahu, kering",,,,,True,False,True,False
CP019,Pepea oncom ampas tahu,KZGPI- 1990,"80,9",76,"5,2","1,8","10,6","2,2","1,5",215,66,"12,5",,,,,,,268,"0,11",,,,100,C,CP,LN,Lauk Nabati,tkpi_main_group,pepea oncom ampas tahu,pepea oncom ampas tahu,pepea oncom ampas tahu,,,,,True,False,True,False
CP037,Kembang tahu,KZGPI- 1990,"10,8",380,"48,9","13,8","23,3",0,"3,2",378,781,"2,1",55,"455,3","0,68","4,2",,0,,"0,15","0,08","0,7",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,kembang tahu,kembang tahu,kembang tahu,1 Lembar,1.0,Lembar,20,True,True,True,False
CP038,Kembang tahu rebus,KZGPI- 1990,"79,8",90,"10,7",4,"4,7",,"0,8",85,,,,,,,,,,,,,,100,C,CP,LN,Lauk Nabati,tkpi_main_group,kembang tahu rebus,kembang tahu rebus,kembang tahu rebus,,,,,True,False,True,False
CP039,Keripik oncom,KZGPI- 1990,3,598,"8,3","43,8","42,6","3,3","2,2",85,153,27,,,,,,,1608,"1,13",,,0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,keripik oncom,keripik oncom,keripik oncom,,,,,True,False,True,False
CP040,Keripik tempe,KZGPI- 1990,"3,3",581,"12,1","40,6","41,7","2,2","2,3",237,116,"6,9",,,,,,,320,"0,35",,,0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,keripik tempe,keripik tempe,keripik tempe,,,,,True,False,True,False
CP041,Keripik tempe abadi besar,KZGPI- 1990,"4,5",556,"15,8","37,1","39,8","3,5","2,8",112,215,"5,4",,,,,,,0,"0,63",,,0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,keripik tempe abadi besar,keripik tempe abadi besar,keripik tempe abadi besar,,,,,True,False,True,False
CP042,Keripik tempe abadi murni,KZGPI- 1990,"3,2",542,"40,3","42,4","11,6","2,2","2,7",175,529,"5,2",,,,,,,50,"0,1",,,0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,keripik tempe abadi murni,keripik tempe abadi murni,keripik tempe abadi murni,,,,,True,False,True,False
CP043,Keripik tempe abadi sedang,KZGPI- 1990,"4,4",510,"12,3","27,9","52,4","3,6","3,1",122,211,"8,4",,,,,,,0,"0,52",,,0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,keripik tempe abadi sedang,keripik tempe abadi sedang,keripik tempe abadi sedang,,,,,True,False,True,False
CP044,Keripik tempe abadi telur,KZGPI- 1990,"4,5",529,"20,8","31,7","40,2",3,"2,9",124,222,"5,4",,,,,,,0,"0,86",,,0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,keripik tempe abadi telur,keripik tempe abadi telur,keripik tempe abadi telur,,,,,True,False,True,False
CP045,Kerupik tempe abadi prima,KZGPI- 1990,"4,8",540,"16,7","33,9",42,"2,2","2,6",92,184,"3,2",,,,,,,1080,"0,38",,,0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,kerupik tempe abadi prima,kerupik tempe abadi prima,kerupik tempe abadi prima,,,,,True,False,True,False
CP050,Moon tahu,KZGMS-1993,"79,9",128,8,10,"1,3","0,2","0,8",205,92,"2,5",393,,,,131,,5300,"0,46",,,0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,moon tahu,moon tahu,moon tahu,,,,,True,False,True,False
CP051,Oncom,DABM-1964,57,187,13,6,"22,6",,"1,4",96,115,27,,,,,0,,,"0,09",0,"1,6",0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,oncom,oncom,oncom,2 Potong Besar,2.0,Potong Besar,50,True,True,True,False
CP052,Oncom ampas kacang hijau,KZGPI- 1990,"13,4",376,"14,9",6,"65,7","12,3","1,7",199,110,"10,9",,,,,,,,"0,03",,,,100,C,CP,LN,Lauk Nabati,tkpi_main_group,oncom ampas kacang hijau,oncom ampas kacang hijau,oncom ampas kacang hijau,,,,,True,False,True,False
CP053,Oncom kacang hijau + singkong,KZGPI- 1990,"16,5",351,11,"5,3","65,9",9,"1,3",164,113,"7,8",,,,,,,,"0,01",,,,100,C,CP,LN,Lauk Nabati,tkpi_main_group,oncom kacang hijau + singkong,oncom kacang hijau + singkong,oncom kacang hijau + singkong,,,,,True,False,True,False
CP054,Oncom kacang tanah pepes,KZGPI- 1990,65,132,"12,7","3,8","13,7","3,1","4,8",133,355,"34,4",,,,,,,10,"0,08","0,2","0,7",0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,oncom kacang tanah pepes,oncom kacang tanah pepes,oncom kacang tanah pepes,,,,,True,False,True,False
CP060,Susu kedelai,DABM-1964,87,41,"3,5","2,5",5,"0,2",2,50,45,"0,7",128,"287,9","0,12",1,,,200,"0,08","0,05","0,7",2,100,C,CP,LN,Lauk Nabati,tkpi_main_group,susu kedelai,susu kedelai,susu kedelai,,,,,True,False,True,False
CP061,"Tahu, mentah",KZGPI- 1990,"82,2",80,"10,9","4,7","0,8","0,1","1,4",223,183,"3,4",2,"50,6","0,19","0,8",,118,,"0,01","0,08","0,1",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tahu, mentah",tahu,tahu,2 Potong Sedang,2.0,Potong Sedang,100,True,True,True,False
CP062,Tahu goreng,KZGPI- 1990,"77,3",115,"9,7","8,5","2,5","0,1",2,229,200,"4,1",7,"68,2","0,09","1,3",,0,0,"0,01","0,24",0,0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tahu goreng,tahu goreng,tahu goreng,,,,,True,False,True,False
CP063,Tahu telur,KZGMS-1993,"41,8",328,"12,6","19,9","24,6","0,4","1,1",492,238,"4,9",755,,,,73,,1860,"0,42",,,0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tahu telur,tahu telur,tahu telur,,,,,True,False,True,False
CP070,Tempe bongkrek,DABM-1964,70,88,10,4,3,,"146,3",27,100,"2,6",,,,,0,,,"0,08",,,0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tempe bongkrek,tempe bongkrek,tempe bongkrek,,,,,True,False,True,False
