food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed
BR014,"Kentang hitam, segar",DABM- 1964,64,142,"0,9","0,4","33,7","5,4",1,34,75,"0,2",22,"890,3","0,9","0,6",,0,,"0,02","0,1","2,2",38,75,B,BR,MP,Makanan Pokok,tkpi_main_group,"kentang hitam, segar",kentang hitam,kentang hitam,12 Biji,12.0,Biji,125,False,True,False,False
BR015,"Keribang, ubi, segar",KZGPI- 1990,67,137,"1,3","1,1","29,8","0,6","0,8",45,56,"0,8",10,"885,8","0,2","0,3",0,0,0,0,0,"0,7",0,83,B,BR,MP,Makanan Pokok,tkpi_main_group,"keribang, ubi, segar","keribang, ubi","keribang, ubi",,,,,False,False,False,False
BR016,"Ketela pohon/ singkong, segar",KZGPI- 1990,"61,4",154,1,"0,3","36,8","0,9","0,5",77,24,"1,1",2,394,"0,3","0,4",0,0,0,"0,06","0,1","0,5",31,85,B,BR,MP,Makanan Pokok,tkpi_main_group,"ketela pohon/ singkong, segar",ketela pohon singkong,ketela pohon singkong,,,,,False,False,False,False
BR017,Lepok/ubi rumput,KZGMI-2001,"55,3",181,"2,8","1,2","39,8","10,7","0,9",7,50,"3,1",116,306,"1,6","0,9",0,0,0,"0,28","0,05","1,5",0,85,B,BR,MP,Makanan Pokok,tkpi_main_group,lepok/ubi rumput,lepok ubi rumput,lepok ubi rumput,,,,,False,False,False,False
BR018,"Sagu aren, kering",KZGPI- 1990,"11,9",355,"0,6","1,1","85,6","0,3","0,8",91,167,"2,2",2,200,0,"0,3",,,0,"0,04","0,1","0,5",0,100,B,BR,MP,Makanan Pokok,tkpi_main_group,"sagu aren, kering","sagu aren, kering","sagu aren, kering",,,,,False,False,False,False
BR019,"Sagu aren, segar",KZGMI-2001,"42,5",231,"0,6","0,2","56,6","3,2","0,1",20,20,"0,1",7,0,"0,1","0,1",0,,0,"0,2",0,0,0,100,B,BR,MP,Makanan Pokok,tkpi_main_group,"sagu aren, segar",sagu aren,sagu aren,,,,,False,False,False,False
BR020,Sagu kasbi segar,KZGMI-2001,"42,5",230,"0,6","0,2","56,5",3,"0,2",20,1,"0,3",100,410,"0,1","0,2",0,0,0,"0,1",0,0,0,100,B,BR,MP,Makanan Pokok,tkpi_main_group,sagu kasbi segar,sagu kasbi segar,sagu kasbi segar,,,,,False,False,False,False
BR021,Sagu lempeng,KZGMI-2001,"13,5",347,"0,9","0,3","85,2","4,7","0,1",30,30,"0,2",11,0,"0,1","0,1",0,0,,"0,3",0,0,0,100,B,BR,MP,Makanan Pokok,tkpi_main_group,sagu lempeng,sagu lempeng,sagu lempeng,,,,,False,False,False,False
BR022,"Sagu singkong, kering",DABM- 1964,12,362,"0,5","0,3","86,9",,"0,3",0,0,0,,,,,,0,0,0,,,0,100,B,BR,MP,Makanan Pokok,tkpi_main_group,"sagu singkong, kering","sagu singkong, kering","sagu singkong, kering",,,,,False,False,False,False
BR023,"Sente, talas, segar",DABM- 1964,14,353,"0,7","0,2","84,7","6,6","0,4",11,13,"1,5",30,"694,6","0,6","2,2",,41,,"0,05","0,2","2,8",5,86,B,BR,MP,Makanan Pokok,tkpi_main_group,"sente, talas, segar","sente, talas","sente, talas",,,,,False,False,False,False
