food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,food_name_std
GP082,"Pempek telur, masakan",KZGMI-2001,"62,4",156,"4,7","2,7","28,3",,"1,9",13,83,"1,3",448,48,"0,1","0,6",,,,"0,2","0,05","1,1",,,G,GP,LH,Lauk Hewani,tkpi_main_group,"pempek telur, masakan",pempek telur,pempek telur,,,,,"pempek telur, masakan"
GP083,"Pempek tenggiri, masakan",KZGPI- 1990,"56,3",173,"7,2","1,2","33,4","0,2","1,9",164,80,"3,1",,,,,0,,0,"0,02",,,0,,G,GP,LH,Lauk Hewani,tkpi_main_group,"pempek tenggiri, masakan",pempek tenggiri,pempek tenggiri,,,,,"pempek tenggiri, masakan"
GP084,"Pencok lele, masakan",KZGPI- 1990,"47,5",372,"7,8","36,3","3,5",0,"4,9",289,295,"5,3",,,,,64,0,12070,"0,12",,,0,,G,GP,LH,Lauk Hewani,tkpi_main_group,"pencok lele, masakan",pencok lele,pencok lele,,,,,"pencok lele, masakan"
GP085,Pinda,KZGMI-2001,71,107,"15,9","0,6","0,4",,"3,1",375,336,"1,9",526,330,"0,2",1,896,,,"0,89","0,05","0,5",,,G,GP,LH,Lauk Hewani,tkpi_main_group,pinda,pinda,pinda,,,,,pinda
GP086,"Pindang kenari, masakan",KZGMI-2001,"80,1",124,"9,5","9,6",0,,"2,8",120,220,"1,3",370,270,"0,3","1,2",18,381,,,,"0,1",,,G,GP,LH,Lauk Hewani,tkpi_main_group,"pindang kenari, masakan",pindang kenari,pindang kenari,,,,,"pindang kenari, masakan"
GP087,"Saboko gurita, masakan",KZGMI-2001,"76,2",87,"15,7","1,5","2,6",,"4,1",60,14,"2,1",200,180,"0,9",4,38,,,,,,,,G,GP,LH,Lauk Hewani,tkpi_main_group,"saboko gurita, masakan",saboko gurita,saboko gurita,,,,,"saboko gurita, masakan"
GP088,"Saboko saltan, masakan",KZGMI-2001,76,113,"17,1","3,6",3,,"0,3",240,60,"0,5",40,350,"0,2","0,6",27,,,,,"0,1",,,G,GP,LH,Lauk Hewani,tkpi_main_group,"saboko saltan, masakan",saboko saltan,saboko saltan,,,,,"saboko saltan, masakan"
GP089,"Saboko sardin, masakan",KZGMI-2001,70,110,"12,9","4,3","4,9",,"7,9",220,520,6,200,280,"0,2","3,9",37,,,,,,,,G,GP,LH,Lauk Hewani,tkpi_main_group,"saboko sardin, masakan",saboko sardin,saboko sardin,,,,,"saboko sardin, masakan"
GP090,Sate bandeng,BKP,"47,1",283,"12,1","16,8","20,9",2,"3,1",118,186,"1,2",543,199,"0,2","0,9",,2,0,"0,02","0,02",0,0,"82,4",G,GP,LH,Lauk Hewani,tkpi_main_group,sate bandeng,sate bandeng,sate bandeng,,,,,sate bandeng
GP091,"Sepi, masakan",KZGMI-2001,"66,1",88,"7,9","1,6","10,6",,"13,8",924,350,"2,3",873,258,1,"1,1",783,,,,,,,,G,GP,LH,Lauk Hewani,tkpi_main_group,"sepi, masakan",sepi,sepi,,,,,"sepi, masakan"
GP092,"Tekwan, masakan",KZGMI-2001,"86,7",53,"1,9","0,9","9,4",,"1,1",9,41,1,174,42,0,0,99,,,"0,1","0,02","0,4",,,G,GP,LH,Lauk Hewani,tkpi_main_group,"tekwan, masakan",tekwan,tekwan,,,,,"tekwan, masakan"
GP093,"Teri belado, masakan",KZGPI- 1990,"25,8",365,"23,7","22,3","17,5",0,"10,9",869,348,4,,,,,27,,1567,"0,13",,,0,,G,GP,LH,Lauk Hewani,tkpi_main_group,"teri belado, masakan",teri belado,teri belado,,,,,"teri belado, masakan"
GP094,"Tumis bandeng, masakan",KZGMI-2001,"70,5",189,"11,3","15,7","0,6",,"1,9",56,129,"0,4",314,280,"0,1","0,7",579,,,"0,46","0,02",,,,G,GP,LH,Lauk Hewani,tkpi_main_group,"tumis bandeng, masakan",tumis bandeng,tumis bandeng,,,,,"tumis bandeng, masakan"
