food_name,weight_gram,urt,category_code,category_name,urt_qty,urt_unit,urt_food_name_clean,urt_food_name_match
Ayam dengan kulit,40,1 potong sedang,LH,Lauk Hewani,1.0,potong sedang,ayam dengan kulit,ayam dengan kulit
Daging babi,50,1 potong sedang,LH,Lauk Hewani,1.0,potong sedang,daging babi,daging babi
Ham,40,1/2 potong kecil,LH,Lauk Hewani,0.5,potong kecil,ham,ham
Sardencis,35,1/2 potong,LH,Lauk Hewani,0.5,potong,sardencis,sardencis
Sosis,50,1/2 potong,LH,Lauk Hewani,0.5,potong,sosis,sosis
Kuning telur ayam,45,4 butir,LH,Lauk Hewani,4.0,butir,kuning telur ayam,kuning telur ayam
Telur bebek,55,1 butir,LH,Lauk Hewani,1.0,butir,telur bebek,telur bebek
Alpokat,50,½ buah besar,LH,Lauk Hewani,0.5,buah besar,alpokat,alpokat
Anggur,165,20 buah sedang,LH,Lauk Hewani,20.0,buah sedang,anggur,anggur
Apel merah,85,1 buah kecil,LH,Lauk Hewani,1.0,buah kecil,apel merah,apel merah
Apel malang,75,1 buah sedang,LH,Lauk Hewani,1.0,buah sedang,apel malang,apel malang
Belimbing,125-140,1 buah besar,B,Buah,1.0,buah besar,belimbing,belimbing
Blewah,70,1 potong sedang,B,Buah,1.0,potong sedang,blewah,blewah
Duku,80,14 buah sedang,B,Buah,14.0,buah sedang,duku,duku
Durian,35,2 biji besar,B,Buah,2.0,biji besar,durian,durian
Jambu air,100,2 buah sedang,B,Buah,2.0,buah sedang,jambu air,jambu air
Jambu biji,100,1 buah besar,B,Buah,1.0,buah besar,jambu biji,jambu biji
Jambu bol,90,1 buah kecil,B,Buah,1.0,buah kecil,jambu bol,jambu bol
Jeruk bali,105,1 potong,B,Buah,1.0,potong,jeruk bali,jeruk bali
Jeruk garut,115,1 buah sedang,B,Buah,1.0,buah sedang,jeruk garut,jeruk garut
Jeruk manis,100,2 buah sedang,B,Buah,2.0,buah sedang,jeruk manis,jeruk manis
Jeruk nipis,135,1 ½ gelas,B,Buah,1.5,gelas,jeruk nipis,jeruk nipis
Kedondong,100/120,2 buah sedang/besar,B,Buah,2.0,buah sedang/besar,kedondong,kedondong
Kesemek,65,1 ½ buah,B,Buah,1.5,buah,kesemek,kesemek
Kurma,15,3 buah,B,Buah,3.0,buah,kurma,kurma
Leci,75,10 buah,B,Buah,10.0,buah,leci,leci
Mangga,90,¾ buah besar,B,Buah,0.75,buah besar,mangga,mangga
Manggis,80,2 buah sedang,B,Buah,2.0,buah sedang,manggis,manggis
Markisa,35,¾ buah sedang,B,Buah,0.75,buah sedang,markisa,markisa
Melon,90,1 potong,B,Buah,1.0,potong,melon,melon
Nangka masak,50,3 biji sedang,B,Buah,3.0,biji sedang,nangka masak,nangka masak
Nenas,85,¼ buah sedang,B,Buah,0.25,buah sedang,nenas,nenas
Pear,85,½ buah sedang,B,Buah,0.5,buah sedang,pear,pear
Pepaya,100-190,1 potong besar,B,Buah,1.0,potong besar,pepaya,pepaya
Pisang ambon,50,1 buah sedang,B,Buah,1.0,buah sedang,pisang ambon,pisang ambon
Pisang kepok,45,1 buah,B,Buah,1.0,buah,pisang kepok,pisang kepok
Pisang mas,40,2 buah,B,Buah,2.0,buah,pisang mas,pisang mas
Pisang raja,40,2 buah kecil,B,Buah,2.0,buah kecil,pisang raja,pisang raja
Rambutan,75,8 buah,B,Buah,8.0,buah,rambutan,rambutan
Sawo,50,1 buah sedang,B,Buah,1.0,buah sedang,sawo,sawo
Salak,65,2 buah sedang,B,Buah,2.0,buah sedang,salak,salak
Semangka,180,2 potong sedang,B,Buah,2.0,potong sedang,semangka,semangka
Sirsak,60,½ gelas,B,Buah,0.5,gelas,sirsak,sirsak
Srikaya,50,2 buah besar,B,Buah,2.0,buah besar,srikaya,srikaya
Strawberry,215,4 buah besar,B,Buah,4.0,buah besar,strawberry,strawberry
Gula putih,10,1 sendok makan,B,Buah,1.0,sendok makan,gula putih,gula putih
Gula aren,10,1 sendok makan,B,Buah,1.0,sendok makan,gula aren,gula aren
Gula kelapa,10,1 sendok makan,G,Gula,1.0,sendok makan,gula kelapa,gula kelapa
Selai/jam,15,1 sendok makan,G,Gula,1.0,sendok makan,selai/jam,selai jam
Madu,15,1 sendok makan,G,Gula,1.0,sendok makan,madu,madu
Sirup,15,1 sendok makan,G,Gula,1.0,sendok makan,sirup,sirup
Alpokat,60,½ buah besar,G,Gula,0.5,buah besar,alpokat,alpokat
Margarin jagung,5,¼ sendok teh,G,Gula,0.25,sendok teh,margarin jagung,margarin jagung
Mayonaise,25,2 sendok makan,G,Gula,2.0,sendok makan,mayonaise,mayonaise
Minyak biji kapas,5,1 sendok teh,M,Minyak / Lemak,1.0,sendok teh,minyak biji kapas,minyak biji kapas
Minyak matahari,5,1 sendok teh,M,Minyak / Lemak,1.0,sendok teh,minyak matahari,minyak matahari
Minyak jagung,5,1 sendok teh,M,Minyak / Lemak,1.0,sendok teh,minyak jagung,minyak jagung
Minyak kedelai,5,1 sendok teh,M,Minyak / Lemak,1.0,sendok teh,minyak kedelai,minyak kedelai
Minyak kacang tanah,5,1 sendok teh,M,Minyak / Lemak,1.0,sendok teh,minyak kacang tanah,minyak kacang tanah
Minyak safflower,5,1 sendok teh,M,Minyak / Lemak,1.0,sendok teh,minyak safflower,minyak safflower
Minyak zaitun,5,1 sendok teh,M,Minyak / Lemak,1.0,sendok teh,minyak zaitun,minyak zaitun
Mentega,15,1 sendok makan,M,Minyak / Lemak,1.0,sendok makan,mentega,mentega
Santan (peras),40,1/3 gelas,M,Minyak / Lemak,0.3333333333333333,gelas,santan (peras),santan (peras)
Kelapa,15,1potong kecil,M,Minyak / Lemak,1.0,potong kecil,kelapa,kelapa
Keju krim,15,1 potong kecil,M,Minyak / Lemak,1.0,potong kecil,keju krim,keju krim
Minyak kelapa,5,1 sendok teh,M,Minyak / Lemak,1.0,sendok teh,minyak kelapa,minyak kelapa
Minyak sawit,5,1 sendok teh,M,Minyak / Lemak,1.0,sendok teh,minyak sawit,minyak sawit
