food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ABU (g),calcium_mg_100g,FOSFOR (mg),BESI (mg),sodium_mg_100g,potassium_mg_100g,TEMBAGA (mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR-TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT C (mg),bdd_percent,food_name_normalized,category,category_source,urt_food_name,urt,gram_per_portion,similarity_score,match_type_fuzzy,match_type,URT,is_usable_for_recommendation,energy_kcal_portion,protein_g_portion,fat_g_portion,carb_g_portion,sodium_mg_portion,potassium_mg_portion,calcium_mg_portion,processing_status,restricted_processed_flag,macro_count
AR011,Beras parboiled,DABM-1964,10.0,353,6.8,0.6,80.0,0.5,2.5,5.0,142,0.8,2.0,46.0,1.0,0,0,0.28,-,0.22,0.11,3.4,100,0.0,beras parboiled,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,529.5,10.2,0.8999999999999999,120.0,3.0,69.0,7.5,Non-Olahan,False,4
AR012,"Beras tumbuk, mentah",KZGMI-2001,11.5,354,7.8,0.4,79.9,3.8,0.4,3.0,112,0.6,5.0,85.0,0.50,0,0,1.5,-,0.25,0.22,5.1,100,0.0,beras tumbuk,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,531.0,11.7,0.6000000000000001,119.85000000000001,7.5,127.5,4.5,Non-Olahan,False,4
AR013,"Beras tumbuk merah, mentah",KZGPI-1990,14.6,352,7.3,0.9,76.2,0.8,1.0,15.0,257,4.2,10.0,202.0,0.36,1.9,0,0,0,0.00,0.34,3.3,100,0.0,beras merah tumbuk,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,528.0,10.95,1.35,114.30000000000001,15.0,303.0,22.5,Non-Olahan,False,4
AP001,Nasi,KZGPI-1990,56.7,180,3.0,0.3,39.8,0.2,0.2,25.0,27,0.4,1.0,38.0,0.10,-,-,-,0,0.05,-,0,100,0.0,nasi,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,270.0,4.5,0.44999999999999996,59.699999999999996,1.5,57.0,37.5,Non-Olahan,False,4
AP002,Nasi tim,OKN-1992,71.0,120,2.4,0.4,26.0,0.5,0.2,3.0,7,0.4,0.0,23.9,0.10,0,-,-,0,0.10,-,0,100,0.0,nasi tim,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,180.0,3.5999999999999996,0.6000000000000001,39.0,0.0,35.849999999999994,4.5,Non-Olahan,False,4
AP003,Tapai beras,KZGMI-2001,75.5,99,1.7,0.3,22.4,0.0,0.1,4.0,19,0.0,5.0,2.0,0.05,2.6,0,0,0,0.10,0,0,100,0.0,beras tapai,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,148.5,2.55,0.44999999999999996,33.599999999999994,7.5,3.0,6.0,Non-Olahan,False,4
AP004,"Tepung beras, mentah",DABM-1964,12.0,353,7.0,0.5,80.0,2.4,0.5,5.0,140,0.8,5.0,241.0,0.6,0.10,0,0,0,0.12,12,0.8,100,0.0,beras,MP,code_prefix,Tepung Beras,8 Sendok Makan,50.0,100.0,exact_name,normalized_urt,8 Sendok Makan,True,176.5,3.5,0.25,40.0,2.5,120.5,2.5,Non-Olahan,False,4
AP005,Nasi beras merah,KZGPI-1990,64.0,149,2.8,0.4,32.5,0.3,0.3,6.0,63,0.8,5.0,91.4,0,0.00,0,0,0,0.06,0,1.6,100,0.0,beras merah nasi,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,223.5,4.199999999999999,0.6000000000000001,48.75,7.5,137.10000000000002,9.0,Non-Olahan,False,4
AP006,"Bihun, mentah",DABM-1964,12.9,348,4.7,0.1,82.1,1.2,0.2,6.0,35,1.8,5.0,12.0,0.08,0.00,0.00,0,0,0,0.2,0.7,100,0.0,bihun,MP,code_prefix,Bihun,1/2 Gelas,50.0,100.0,exact_name,normalized_urt,1/2 Gelas,True,174.0,2.35,0.05,41.05,2.5,6.0,3.0,Non-Olahan,False,4
AP009,Nasi jagung,BKP,11.0,357,8.8,0.5,79.5,6.2,0.3,5.0,43,0.6,2.0,30.4,0.1,0.02,0.30,0.10,0,0,-,0.3,100,0.0,jagung nasi,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,535.5,13.200000000000001,0.75,119.25,3.0,45.599999999999994,7.5,Non-Olahan,False,4
